city,device,gender,age_min,age_max,age_bracket,count
chelmsford,all,male,25,34,25-34,8200
chelmsford,all,male,35,44,35-44,6400
chelmsford,all,male,45,54,45-54,5000
chelmsford,all,male,55,64,55-64,3000
chelmsford,all,male,65,,65+,2400
chelmsford,all,female,,,all,40000
chelmsford,all,female,13,17,13-17,3000
chelmsford,all,female,18,24,18-24,7600
chelmsford,all,female,25,34,25-34,9200
chelmsford,all,female,35,44,35-44,8600
chelmsford,all,female,45,54,45-54,7400
chelmsford,all,female,55,64,55-64,4200
chelmsford,all,female,65,,65+,3000
chelmsford,desktop,all,,,all,50000
chelmsford,desktop,all,13,17,13-17,3600
chelmsford,desktop,all,18,24,18-24,10800
chelmsford,desktop,all,25,34,25-34,10400
chelmsford,desktop,all,35,44,35-44,9800
chelmsford,desktop,all,45,54,45-54,8800
chelmsford,desktop,all,55,64,55-64,5800
chelmsford,desktop,all,65,,65+,4600
chelmsford,desktop,male,,,all,22000
chelmsford,desktop,male,13,17,13-17,1740
chelmsford,desktop,male,18,24,18-24,5800
chelmsford,desktop,male,25,34,25-34,4800
chelmsford,desktop,male,35,44,35-44,4000
chelmsford,desktop,male,45,54,45-54,3600
chelmsford,desktop,male,55,64,55-64,2400
chelmsford,desktop,male,65,,65+,2200
chelmsford,desktop,female,,,all,26000
chelmsford,desktop,female,13,17,13-17,1800
chelmsford,desktop,female,18,24,18-24,5000
chelmsford,desktop,female,25,34,25-34,5400
chelmsford,desktop,female,35,44,35-44,5600
chelmsford,desktop,female,45,54,45-54,5000
chelmsford,desktop,female,55,64,55-64,3200
chelmsford,desktop,female,65,,65+,2400
chelmsford,mobile,all,,,all,64000
chelmsford,mobile,all,13,17,13-17,5400
chelmsford,mobile,all,18,24,18-24,15400
chelmsford,mobile,all,25,34,25-34,16200
chelmsford,mobile,all,35,44,35-44,13600
chelmsford,mobile,all,45,54,45-54,10000
chelmsford,mobile,all,55,64,55-64,5000
chelmsford,mobile,all,65,,65+,3200
chelmsford,mobile,male,,,all,28000
chelmsford,mobile,male,13,17,13-17,2600
chelmsford,mobile,male,18,24,18-24,8200
chelmsford,mobile,male,25,34,25-34,7400
chelmsford,mobile,male,35,44,35-44,5600
chelmsford,mobile,male,45,54,45-54,3800
chelmsford,mobile,male,55,64,55-64,1940
chelmsford,mobile,male,65,,65+,1220
chelmsford,mobile,female,,,all,34000
chelmsford,mobile,female,13,17,13-17,2800
chelmsford,mobile,female,18,24,18-24,7200
chelmsford,mobile,female,25,34,25-34,8600
chelmsford,mobile,female,35,44,35-44,7800
chelmsford,mobile,female,45,54,45-54,6000
chelmsford,mobile,female,55,64,55-64,3000
chelmsford,mobile,female,65,,65+,1860
bedford,all,all,,,all,80000
bedford,all,all,13,17,13-17,7400
bedford,all,all,18,24,18-24,18400
bedford,all,all,25,34,25-34,19400
bedford,all,all,35,44,35-44,15200
bedford,all,all,45,54,45-54,13400
bedford,all,all,55,64,55-64,7400
bedford,all,all,65,,65+,5200
bedford,all,male,,,all,38000
bedford,all,male,13,17,13-17,3400
bedford,all,male,18,24,18-24,9200
bedford,all,male,25,34,25-34,9400
bedford,all,male,35,44,35-44,6800
bedford,all,male,45,54,45-54,6200
bedford,all,male,55,64,55-64,3400
bedford,all,male,65,,65+,2400
bedford,all,female,,,all,40000
bedford,all,female,13,17,13-17,4200
bedford,all,female,18,24,18-24,9200
bedford,all,female,25,34,25-34,9800
bedford,all,female,35,44,35-44,8000
bedford,all,female,45,54,45-54,6800
bedford,all,female,55,64,55-64,3800
bedford,all,female,65,,65+,2800
bedford,desktop,all,,,all,54000
bedford,desktop,all,13,17,13-17,5000
bedford,desktop,all,18,24,18-24,12400
bedford,desktop,all,25,34,25-34,11800
bedford,desktop,all,35,44,35-44,10200
bedford,desktop,all,45,54,45-54,9600
bedford,desktop,all,55,64,55-64,5800
bedford,desktop,all,65,,65+,4200
bedford,desktop,male,,,all,24000
bedford,desktop,male,13,17,13-17,2200
bedford,desktop,male,18,24,18-24,6000
bedford,desktop,male,25,34,25-34,5600
bedford,desktop,male,35,44,35-44,4400
bedford,desktop,male,45,54,45-54,4400
bedford,desktop,male,55,64,55-64,2600
bedford,desktop,male,65,,65+,1940
bedford,desktop,female,,,all,28000
