Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK452RP,40,19,21,13,10,>=30,20,>=30
MK452RQ,36,18,18,13,11,27,20,>=30
MK452RR,106,52,54,38,35,22.4,20,>=30
MK452RS,114,53,61,44,40,29.3,20,>=30
MK452RT,31,19,12,11,6,10.8,8.6,18.8
MK452RU,40,18,22,18,19,27,20,>=30
MK452RW,75,46,29,32,28,26.5,20,>=30
MK452RX,23,11,12,9,8,14.9,14.3,>=30
MK452RY,59,31,28,25,26,>=30,20,>=30
MK452RZ,19,10,9,8,8,27.3,20,>=30
MK452SA,102,53,49,47,36,26.9,20,>=30
MK452SD,86,39,47,30,26,27.1,19.2,>=30
MK452SF,79,34,45,32,26,22.2,20,>=30
MK452SG,11,3,8,3,3,13.5,14.4,15.5
MK452SH,52,25,27,21,18,26,18.5,>=30
MK452SJ,85,47,38,33,27,27,20,>=30
MK452SL,88,44,44,31,21,18.8,20,>=30
MK452SN,87,54,33,34,31,27.3,20,>=30
MK452SP,27,11,16,8,6,>=30,>=30,>=30
MK452SQ,54,23,31,25,15,>=30,20,>=30
MK452SR,30,12,18,22,13,23.6,14.7,>=30
MK452SS,19,10,9,9,3,>=30,>=30,>=30
MK452ST,40,16,24,16,13,20,20,>=30
MK452SU,49,22,27,25,13,18.7,20,>=30
MK452SW,96,48,48,37,33,21.6,20,>=30
MK452SX,22,12,10,12,7,>=30,20,>=30
MK452SY,46,24,22,33,24,18.8,15.5,>=30
MK452SZ,10,6,4,5,3,>=30,>=30,>=30
MK452TA,26,13,13,18,5,12.9,14.1,21.1
MK452TB,52,27,25,23,15,24.6,21.1,>=30
MK452TD,80,42,38,30,21,28.6,20,>=30
MK452TE,15,3,12,13,1,N/A,N/A,N/A
MK452TH,52,22,30,28,23,16.6,16.2,>=30
MK452TJ,27,14,13,11,10,21.9,18.5,>=30
MK452TL,67,34,33,23,18,20.2,18,>=30
MK452TN,49,24,25,25,20,24.1,19.3,>=30
MK452TP,75,39,36,33,27,25.2,16.5,>=30
MK452TR,77,36,41,30,26,28.4,16.3,>=30
MK452TS,132,62,70,49,42,24.4,18.6,>=30
MK452TT,72,32,40,31,28,21.1,14.5,>=30
MK452TU,60,32,28,20,20,21.9,14.7,>=30
MK452TW,9,4,5,4,3,23.3,20,>=30
MK452TX,37,21,16,16,11,19.7,20,>=30
MK452TY,35,16,19,12,8,20.7,16.1,>=30
MK452UA,75,38,37,27,24,29.6,20,>=30
MK452UB,67,35,32,25,26,>=30,>=30,>=30
MK452UD,93,42,51,57,34,21.4,17.3,>=30
MK452UE,20,7,13,11,11,16.3,13.5,>=30
MK452UF,20,7,13,15,10,19.9,14.1,>=30
MK452UH,86,41,45,42,31,19.3,16.5,>=30
MK452UJ,49,23,26,20,21,>=30,21.2,>=30
MK452UL,15,8,7,4,4,10.1,11.8,12.6
MK452UN,54,30,24,21,20,8.2,9,14.2
MK452UP,9,6,3,7,5,16.3,16.2,20
MK452UQ,11,6,5,6,5,18.9,16.3,>=30
MK452UR,9,4,5,3,4,7.8,8,8.1
MK452US,62,28,34,19,23,6.1,6.1,8.1
MK452UT,12,6,6,3,3,7.5,7.8,8
MK452XA,31,19,12,11,13,9.2,8.3,19.7
MK452XB,120,57,63,50,45,12.1,13.2,18.3
MK452XD,109,51,58,49,36,10.7,12.8,17.8
MK452XE,120,65,55,40,37,12.6,13.6,19
MK452XF,182,78,104,66,57,8.4,7,18
MK452XG,96,52,44,30,28,10.7,11.5,17.6
MK452XQ,17,7,10,8,7,13.7,14.2,17.6
MK453AA,30,16,14,15,9,3.7,3.9,5.5
MK453AB,1,1,0,1,<3,N/A,N/A,N/A
MK453AD,19,8,11,5,4,3.7,3.4,5.1
MK453AF,87,36,51,31,26,3.4,3.2,7.7
MK453AG,4,3,1,1,<3,N/A,N/A,N/A
MK453AH,38,20,18,15,12,4.2,4,6.6
MK453AJ,49,24,25,21,21,3,3.4,5.4
MK453AL,24,11,13,8,6,3.9,4.1,5.3
MK453AN,12,5,7,5,5,3.4,3.3,4.2
MK453AP,71,35,36,35,22,2.9,3.2,4.3
MK453AQ,40,16,24,14,14,3.4,3.4,5.3
MK453AS,3,1,2,1,<3,N/A,N/A,N/A
MK453AT,71,35,36,38,25,3.2,3.2,5.8
MK453AU,75,43,32,26,20,3.6,3.6,6.1
MK453AW,20,9,11,6,6,3.6,4.2,4.9
MK453AX,21,9,12,15,12,5,5.1,6.8
MK453AY,71,36,35,27,25,4,3.8,7.1
MK453AZ,15,6,9,4,3,4.6,4.4,6.4
MK453BA,58,26,32,21,14,3.3,3.1,6.1
MK453BE,29,17,12,8,7,2.8,3.1,4
MK453BF,88,39,49,36,28,4.8,4.7,7.5
MK453BH,9,5,4,2,<3,N/A,N/A,N/A
MK453BJ,7,3,4,4,9,3.7,4.5,5.9
MK453BQ,14,7,7,6,3,4,3.8,4.9
MK453BS,18,9,9,8,7,3.2,3.7,5
MK453BT,10,3,7,4,5,20.6,21.8,22.1
MK453BU,161,82,79,71,57,27.1,20.7,>=30
MK453BW,14,7,7,6,5,1.2,1,2.1
MK453BX,43,19,24,17,12,21.7,20,>=30
MK453BY,21,9,12,8,6,25.8,21.4,>=30
MK453DA,67,30,37,26,23,27.1,23.4,>=30
MK453DB,55,19,36,26,21,23.3,20,>=30
MK453DD,116,58,58,49,45,27.4,20,>=30
MK453DG,17,8,9,6,4,6.5,6.5,6.8
MK453DH,19,9,10,4,4,>=30,25.3,>=30
MK453DJ,18,7,11,8,7,15.8,19.7,>=30
MK453DL,31,17,14,15,11,23.5,20,>=30
MK453DN,60,30,30,27,21,29.5,18.8,>=30
MK453DP,83,42,41,36,31,16.7,15,>=30
MK453DR,16,9,7,8,5,9.5,9.4,15.3
MK453DS,8,4,4,3,2,N/A,N/A,N/A
MK453DT,28,16,12,14,11,7,6.9,12.1
MK453DU,8,3,5,3,3,10.7,10.2,13.1
MK453DX,87,41,46,35,29,25.8,20,>=30
MK453DY,12,6,6,7,6,>=30,>=30,>=30
MK453EA,23,9,14,10,9,>=30,20,>=30
MK453EB,37,17,20,14,13,>=30,20,>=30
MK453ED,14,7,7,7,5,18.6,18.6,22.4
MK453EE,27,15,12,12,10,25.4,18.9,>=30
MK453EF,77,38,39,30,30,21.1,20.5,>=30
MK453EH,18,6,12,6,5,>=30,23.1,>=30
MK453EJ,54,28,26,22,21,24.2,20,>=30
MK453EL,25,15,10,8,8,3.7,4.1,5
MK453EP,33,19,14,14,13,27.6,20,>=30
MK453ER,24,10,14,11,9,21,17.3,>=30
MK453ES,7,4,3,5,2,N/A,N/A,N/A
MK453ET,18,9,9,9,8,26,19.5,>=30
MK453EU,31,16,15,17,15,24.6,20,>=30
MK453EW,8,5,3,4,3,3.2,3.3,3.9
MK453EX,39,21,18,14,13,29.8,20,>=30
MK453EY,33,15,18,15,12,20.1,20.2,>=30
MK453FA,79,39,40,27,24,13,15.6,21.7
MK453FB,155,69,86,53,54,12.4,12.8,20.3
MK453FD,53,24,29,19,17,14.6,14.2,>=30
MK453FG,25,8,17,11,9,4.2,4.1,6.1
MK453HA,73,35,38,35,28,21.3,18.8,>=30
MK453HB,7,4,3,3,4,>=30,25.6,>=30
MK453HD,26,11,15,12,10,20,19.6,>=30
MK453HE,25,11,14,11,11,15.1,17.4,22.1
MK453HG,17,10,7,11,5,>=30,24.2,>=30
MK453HH,40,19,21,14,14,20,20,>=30
MK453HJ,4,2,2,2,2,N/A,N/A,N/A
MK453HL,25,12,13,11,9,28.3,22.4,>=30
MK453HN,55,27,28,21,16,22.1,21,>=30
MK453HP,17,10,7,8,6,10.9,12.7,17.1
MK453HQ,10,5,5,4,4,7.1,7.2,7.6
MK453HR,46,22,24,19,10,26.9,19.1,>=30
MK453HS,25,13,12,10,9,9.9,9.8,15.4
MK453HT,85,37,48,18,18,9,9.1,15.3
MK453HU,33,16,17,15,18,8.1,7.6,15.9
MK453HW,26,12,14,13,11,28.4,22.3,>=30
MK453JA,1,1,0,1,<3,N/A,N/A,N/A
MK453JE,3,2,1,2,3,2.1,1.9,3.2
MK453JF,1,0,1,1,<3,N/A,N/A,N/A
MK453JG,14,8,6,6,2,N/A,N/A,N/A
MK453JH,13,5,8,5,4,3.5,4.4,4.8
MK453JJ,1,0,1,1,<3,N/A,N/A,N/A
MK453JL,3,1,2,1,<3,N/A,N/A,N/A
MK453JN,8,5,3,6,1,N/A,N/A,N/A
MK453JP,10,7,3,3,3,3.9,2.2,7.8
MK453JS,16,8,8,6,5,4.8,5.4,7
MK453JT,66,36,30,19,18,4.6,4.4,9.2
MK453JU,82,42,40,35,22,2.9,3.2,4.7
MK453JW,68,31,37,28,23,>=30,20,>=30
MK453JX,41,21,20,15,13,3.3,3.7,4.4
MK453JY,17,7,10,8,7,3.6,3.7,5
MK453LA,6,3,3,4,8,3.5,3.1,4.9
MK453LB,21,9,12,8,7,3.4,4.1,4.2
MK453LD,133,63,70,54,24,2.8,2.8,4.7
MK453LE,69,35,34,27,21,3.2,3.7,4.2
MK453LF,29,15,14,9,17,2.8,3,4.3
MK453LG,30,17,13,15,13,3,2.9,4.8
MK453LH,5,2,3,2,<3,N/A,N/A,N/A
MK453LJ,20,8,12,12,7,3.2,3.2,4.6
MK453LL,37,20,17,17,11,2.5,2.2,4.6
MK453LN,20,10,10,6,6,2.6,2.7,4.2
MK453LP,6,4,2,3,2,N/A,N/A,N/A
MK453LQ,34,18,16,15,10,2.4,2.4,4.4
MK453LR,11,5,6,4,4,1,1.2,1.2
MK453LS,73,35,38,30,25,3.1,3.2,4.8
MK453LT,83,40,43,36,22,2.7,2.8,4.1
MK453LU,10,4,6,8,2,N/A,N/A,N/A
MK453LW,36,17,19,16,13,2.1,1.9,4.4
MK453LX,58,32,26,28,15,2.5,2.8,4
MK453LY,52,27,25,22,19,3.1,3.5,5
MK453LZ,33,17,16,14,12,2.9,3,4.2
MK453NA,64,31,33,25,19,2,2,3.3
MK453NB,33,16,17,12,10,2.3,2.5,3.3
MK453ND,43,21,22,21,11,2.4,2.5,4
MK453NE,39,16,23,19,17,2.4,2.4,3.3
MK453NF,77,37,40,32,30,2.3,2.5,3.6
MK453NG,21,15,6,11,10,1.5,1.5,2.2
MK453NH,30,15,15,12,6,2.1,2.2,3.1
MK453NJ,26,9,17,9,1,N/A,N/A,N/A
MK453NP,38,20,18,12,12,2.2,2,4.4
MK453NQ,9,3,6,3,1,N/A,N/A,N/A
MK453NR,18,6,12,10,8,2.7,2.7,4.6
MK453PA,12,7,5,4,2,N/A,N/A,N/A
MK453PB,42,18,24,20,15,6.1,5.7,7.6
MK453PD,3,2,1,1,14,5.9,5.9,9.3
MK453PH,49,22,27,20,16,6.9,7.4,8.1
MK453PJ,101,50,51,37,29,6.8,7.3,8.1
MK453PL,40,22,18,20,18,6.5,7.4,8.1
MK453PN,11,6,5,4,5,6.5,7.6,7.6
MK453PP,91,45,46,30,22,7.1,7.4,8.1
MK453PR,109,54,55,53,27,6.1,6.8,8.1
MK453PS,81,44,37,36,31,7,7.4,8.1
MK453PT,78,39,39,34,26,7.9,7.6,21.2
MK453PU,48,23,25,20,17,7.1,7.6,8.1
MK453PW,27,13,14,11,9,7.4,7.6,8.1
MK453PY,13,7,6,5,4,7.6,7.6,7.6
MK453QA,2,2,0,2,<3,N/A,N/A,N/A
MK453QB,75,41,34,33,26,5.8,6.8,8.1
MK453QD,50,27,23,16,15,12.1,6.8,>=30
MK453QE,14,6,8,7,7,6.4,6.2,8.1
MK453QG,25,15,10,8,8,4,3.5,6.7
MK453QH,79,40,39,34,31,6.9,7.6,8.1
MK453QP,29,14,15,10,12,4.5,4,8.1
MK453QQ,14,6,8,3,5,5.9,7.6,7.6
MK453QR,3,1,2,2,2,N/A,N/A,N/A
MK453QS,16,7,9,5,5,2.6,2.9,4.4
MK453QT,33,16,17,10,8,2.6,2.7,3.5
MK453QU,55,29,26,19,19,2.8,2.4,4.7
MK453QX,7,3,4,2,<3,N/A,N/A,N/A
MK453RA,3,2,1,2,2,N/A,N/A,N/A
MK453RB,23,11,12,8,7,3.2,2.4,7.3
MK453RD,12,7,5,3,5,3.6,2.8,6.1
MK453RJ,21,10,11,11,5,5.7,5.4,8.1
MK453WA,16,11,5,12,4,15.7,17.8,19.4
MK453WB,13,5,8,9,6,10.5,8.7,17.8
MK453WD,23,10,13,14,6,8.7,6.6,17.9
MK453WE,18,10,8,10,6,13.8,15.3,20.1
MK453WF,4,2,2,3,1,N/A,N/A,N/A
MK453WG,18,8,10,12,1,N/A,N/A,N/A
MK453WH,17,10,7,11,7,13.7,16.2,19.3
MK453WJ,10,2,8,8,7,16.8,20,22.2
MK453WL,11,5,6,8,4,13.7,15.2,20.1
MK453WN,11,7,4,7,2,N/A,N/A,N/A
MK453WP,7,4,3,5,3,10.7,10.7,11.5
MK453WQ,17,10,7,8,6,17.6,18.2,19.3
MK453WR,15,6,9,10,7,17.5,18.8,20.7
MK453WS,10,4,6,6,5,15.7,17.4,21.7
MK453WT,36,18,18,24,11,12.9,16.2,20.5
MK453WU,5,1,4,4,3,17.8,17.5,19.5
MK453WW,15,6,9,10,6,19.3,19.8,21.6
MK453WX,37,15,22,25,10,13.9,15.7,20.9
MK453WY,8,3,5,6,3,14.4,14.9,17.2
MK453XA,7,3,4,4,2,N/A,N/A,N/A
MK454AA,58,27,31,22,18,5,5.3,8.5
MK454AB,51,22,29,23,20,5.3,5.1,8.7
MK454AD,31,12,19,12,7,6,6.4,9.4
MK454AE,59,29,30,20,27,5.4,5.3,8.1
MK454AF,10,5,5,3,2,N/A,N/A,N/A
MK454AG,122,57,65,50,37,3.8,4,6.8
MK454AH,71,35,36,24,25,5.3,5.7,9.3
MK454AJ,21,9,12,9,9,6.5,6.4,8
MK454AL,39,18,21,16,15,5.5,5.8,8.1
MK454AN,49,26,23,20,18,6,6.5,7.9
MK454AP,1,0,1,1,<3,N/A,N/A,N/A
MK454AQ,80,45,35,33,31,5.2,5.5,12
MK454AR,19,10,9,11,11,4,4.3,5.7
MK454AS,23,11,12,8,8,6.8,6.7,12
MK454AU,6,4,2,3,1,N/A,N/A,N/A
MK454AW,94,48,46,34,35,6.1,6.4,9.1
MK454AY,25,11,14,22,6,4.8,4.1,6.8
MK454AZ,11,4,7,3,3,6.8,6.8,8
MK454BA,30,14,16,15,13,2.7,2.6,5.2
MK454BB,4,2,2,2,<3,N/A,N/A,N/A
MK454BD,21,9,12,6,5,5.2,5.1,7.4
MK454BE,124,64,60,55,47,4.5,4.5,10.1
MK454BG,29,13,16,11,9,3,2.8,4.5
MK454BH,12,7,5,5,3,4.2,4,5.1
MK454BJ,104,49,55,45,38,3.4,3.4,7.9
MK454BL,17,9,8,6,4,3.8,4.2,5.1
MK454BN,68,37,31,28,28,3.6,3.8,5.7
MK454BP,20,13,7,7,5,3.7,3.6,4.5
MK454BQ,63,27,36,21,25,3.4,3.5,4.6
MK454BS,54,26,28,23,22,3.5,3.4,12.7
MK454BT,72,43,29,29,29,3.1,3,5.1
MK454BU,8,4,4,3,3,2.7,2.8,4
MK454BX,58,26,32,29,24,4.5,4.4,7.9
MK454BY,99,48,51,36,35,4.2,4.4,7.5
MK454BZ,48,26,22,20,16,4.2,4.1,7.6
MK454DA,51,28,23,20,17,3.6,3.4,6.2
MK454DB,3,1,2,1,<3,N/A,N/A,N/A
MK454DD,2,1,1,1,<3,N/A,N/A,N/A
MK454DE,26,11,15,11,7,10.1,8,16
MK454DF,31,12,19,16,14,12.6,13.4,21.3
MK454DG,46,23,23,19,19,8.9,8.1,16
MK454DH,3,1,2,2,<3,N/A,N/A,N/A
MK454DJ,5,3,2,2,<3,N/A,N/A,N/A
MK454DL,23,13,10,8,6,9.3,8.1,16.6
MK454DN,16,8,8,8,4,3.3,3.4,4
MK454DP,42,24,18,16,20,12,12.3,18.5
MK454DR,52,29,23,24,24,8.2,8.1,17.3
MK454DS,8,3,5,4,2,N/A,N/A,N/A
MK454DU,162,72,90,60,50,10.1,8.1,19.1
MK454DX,82,41,41,31,30,10,8.1,21.8
MK454DY,12,3,9,7,7,11.4,8.1,18.2
MK454EA,43,20,23,18,18,8.6,8.1,21.8
MK454EB,46,27,19,18,14,8,8.1,17.3
MK454ED,29,15,14,12,13,11.1,8.1,19
MK454EE,17,7,10,9,7,11.9,12.5,19
MK454EF,24,11,13,13,9,10.7,8.1,18.1
MK454EG,7,3,4,4,3,10.3,10.3,13.1
MK454EH,30,18,12,13,12,8.9,7.9,20.8
MK454EJ,15,7,8,7,7,8.5,7.5,15.9
MK454EL,20,10,10,8,9,9.5,8.1,18.4
MK454EN,8,4,4,3,2,N/A,N/A,N/A
MK454EP,73,43,30,31,29,8.5,8.1,21
MK454EQ,40,20,20,18,20,9.7,8.1,17.3
MK454ER,95,50,45,35,37,10.4,8.1,21.6
MK454ES,40,21,19,23,23,9.3,8.1,20.3
MK454ET,91,42,49,33,31,7.4,6.8,17.5
MK454EU,62,30,32,26,29,7.6,6.8,15.9
MK454EW,6,3,3,4,3,7,7.4,8
MK454EX,93,44,49,33,32,7.5,7.6,13.4
MK454EY,126,56,70,56,44,10.4,8.1,19.9
MK454EZ,46,25,21,17,16,7.8,7.4,19.6
MK454FB,24,15,9,11,9,>=30,20,>=30
MK454FD,90,42,48,40,39,8.1,8,20.2
MK454FE,59,32,27,20,21,2.4,2,7
MK454FJ,20,7,13,13,25,9.2,8.1,17.4
MK454FL,24,9,15,12,13,9.5,8.1,15.6
MK454FN,9,2,7,6,5,14.2,8.1,24.4
MK454FP,14,7,7,4,5,10,8.1,15.6
MK454FQ,5,3,2,2,3,11.2,11.2,17.1
MK454FR,41,17,24,15,13,10.9,8.1,20
MK454FS,21,9,12,7,9,11.5,14.3,14.6
MK454GA,6,4,2,2,<3,N/A,N/A,N/A
MK454HA,14,8,6,5,3,8.9,8.1,17.2
MK454HB,15,9,6,5,6,6.3,8,8.1
MK454HD,2,2,0,2,<3,N/A,N/A,N/A
MK454HE,9,2,7,8,3,11.2,11.2,14.6
MK454HF,64,27,37,23,22,28.9,>=30,>=30
MK454HH,4,2,2,2,4,2,2.1,2.7
MK454HJ,23,15,8,8,5,3.9,1.4,7.8
MK454HL,8,3,5,3,1,N/A,N/A,N/A
MK454HN,18,9,9,7,6,13.4,13.1,20.6
MK454HR,2,1,1,1,13,7.5,8.1,8.1
MK454HS,1,1,0,1,15,7.8,7.8,13.2
MK454HT,19,8,11,6,3,8.1,8.1,9.4
MK454HY,103,55,48,50,36,3.4,2.4,>=30
MK454HZ,42,19,23,13,13,2.4,2.1,3.7
MK454JA,22,12,10,6,6,2.7,2.7,3.4
MK454JB,50,23,27,19,13,1.8,1.8,3.4
MK454JD,14,6,8,6,6,2.1,2,3
MK454JE,50,23,27,20,13,2.9,2.8,4.7
MK454JF,16,6,10,7,5,2.7,3,3.3
MK454JG,12,6,6,6,7,1.6,1.7,2.9
MK454JH,81,38,43,32,22,1.9,2.2,3.1
MK454JJ,45,19,26,19,15,1.8,2.1,3.3
MK454JL,17,8,9,5,3,2.7,2.7,2.8
MK454JN,71,31,40,27,25,15,16.3,22.8
MK454JP,60,32,28,22,21,1.9,2.2,3.1
MK454JR,29,13,16,10,11,1.4,1.3,2.8
MK454JS,59,22,37,20,19,>=30,22.2,>=30
MK454JT,10,4,6,8,4,24.4,>=30,>=30
MK454JU,44,23,21,21,16,25.5,20.5,>=30
MK454JW,10,6,4,3,3,>=30,23.4,>=30
MK454JX,7,2,5,3,1,N/A,N/A,N/A
MK454JY,48,22,26,18,17,>=30,23.2,>=30
MK454JZ,33,15,18,14,11,22,20,>=30
MK454LA,29,13,16,10,10,15.4,18.3,22
MK454LB,80,41,39,27,24,25.3,21,>=30
MK454LD,14,5,9,7,5,22.4,24.4,>=30
MK454LE,23,10,13,8,6,10.6,10.7,17
MK454LF,185,84,101,65,64,>=30,24.2,>=30
MK454LG,2,1,1,1,<3,N/A,N/A,N/A
MK454LH,27,6,21,24,5,18.7,23.9,>=30
MK454LJ,24,12,12,8,7,2.6,2.3,4.2
MK454LL,60,29,31,30,28,27.1,22.9,>=30
MK454LN,65,32,33,29,30,22.9,20,>=30
MK454LP,42,24,18,14,13,27,20,>=30
MK454LQ,78,40,38,31,25,>=30,23.3,>=30
MK454LR,60,30,30,26,22,25.4,19.5,>=30
MK454LS,22,14,8,13,11,19.8,14.1,>=30
MK454LT,56,23,33,33,22,24.1,20,>=30
MK454LU,17,8,9,10,7,>=30,20,>=30
MK454LW,14,9,5,5,3,12.9,8.1,22.9
MK454LX,51,26,25,26,19,26,19.3,>=30
MK454LY,37,18,19,16,15,22,15.4,>=30
MK454LZ,37,23,14,13,12,21.1,20,>=30
MK454NA,13,8,5,5,2,N/A,N/A,N/A
MK454NB,21,11,10,9,9,26.8,20,>=30
MK454ND,63,31,32,23,24,24.5,20,>=30
MK454NE,61,32,29,21,16,29.3,20,>=30
MK454NF,100,44,56,52,45,26,20,>=30
MK454NG,90,44,46,32,31,29.2,20.3,>=30
MK454NH,29,15,14,12,10,20,17.9,>=30
MK454NJ,91,41,50,35,29,29.3,20,>=30
MK454NL,27,12,15,10,11,3.3,3.1,4.7
MK454NP,111,50,61,45,34,19.6,20,>=30
MK454NR,66,35,31,27,27,20.7,17.4,>=30
MK454NS,66,34,32,28,26,22.9,19.4,>=30
MK454NT,16,7,9,8,8,23.9,20.7,>=30
MK454NU,73,38,35,28,22,26.2,19.7,>=30
MK454NW,16,8,8,8,7,17.4,19.5,22.5
MK454NX,137,70,67,51,42,>=30,20.9,>=30
MK454NY,116,59,57,47,40,>=30,20.9,>=30
MK454NZ,78,39,39,30,25,21.1,20,>=30
MK454PA,107,55,52,41,27,>=30,23.1,>=30
MK454PB,94,43,51,35,29,29.3,20,>=30
MK454PD,31,17,14,14,9,>=30,>=30,>=30
MK454PE,40,23,17,16,12,26.8,16.9,>=30
MK454PF,46,23,23,18,15,25.2,20,>=30
MK454PG,13,6,7,5,4,>=30,>=30,>=30
MK454PH,40,18,22,19,15,21.9,20,>=30
MK454PJ,37,18,19,12,12,>=30,25.4,>=30
MK454PL,62,35,27,27,23,>=30,20,>=30
MK454PP,50,21,29,18,16,18.3,20,>=30
MK454PR,10,6,4,4,4,27,20,>=30
MK454PS,35,14,21,14,10,25.1,22,>=30
MK454PT,61,30,31,22,19,19.8,19.8,>=30
MK454PU,70,33,37,28,21,27.2,20,>=30
MK454PX,74,37,37,32,25,26.7,20,>=30
MK454PY,27,17,10,11,10,>=30,>=30,>=30
MK454QA,79,37,42,31,24,28.2,20,>=30
MK454QB,67,40,27,27,26,>=30,20,>=30
MK454QD,106,49,57,50,42,25,20,>=30
MK454QE,25,10,15,14,10,24.8,20,>=30
MK454QG,37,19,18,16,13,21.3,20,>=30
MK454QH,32,15,17,13,11,27.6,20,>=30
MK454QJ,48,26,22,16,14,>=30,20,>=30
MK454QL,37,19,18,16,16,21.8,17.7,>=30
MK454QP,27,7,20,3,1,N/A,N/A,N/A
MK454QQ,49,28,21,18,12,26.1,20,>=30
MK454QR,6,3,3,1,<3,N/A,N/A,N/A
MK454QS,6,5,1,2,<3,N/A,N/A,N/A
MK454QT,8,4,4,5,1,N/A,N/A,N/A
MK454QU,42,25,17,13,12,4.8,4.3,8
MK454QX,17,10,7,5,4,4.7,5.1,5.7
MK454RB,5,2,3,2,1,N/A,N/A,N/A
MK454RE,177,91,86,63,59,28.7,20,>=30
MK454RF,6,2,4,2,6,10.3,10.9,17.8
MK454RG,83,39,44,42,38,28.8,20,>=30
MK454RH,105,52,53,45,39,25,20,>=30
MK454RN,33,13,20,21,15,21,16.6,>=30
MK454RS,21,10,11,5,4,8.6,8.6,10.6
MK454RU,22,11,11,10,10,7.4,7.8,8.1
MK454RW,57,28,29,24,19,25.4,20,>=30
MK454RX,74,36,38,38,34,29.6,21.3,>=30
MK454RY,20,9,11,13,10,28.8,20.2,>=30
MK454RZ,29,11,18,10,11,>=30,20,>=30
MK454SA,80,37,43,24,24,>=30,17.7,>=30
MK454SB,58,32,26,16,16,>=30,>=30,>=30
MK454SD,125,70,55,48,47,>=30,22.2,>=30
MK454SE,15,6,9,7,5,20.2,11.1,>=30
MK454SF,96,48,48,39,35,25.4,20,>=30
MK454SG,67,40,27,30,25,7.4,7.1,15.7
MK454SH,25,13,12,10,10,6.6,7,13.2
MK454SJ,11,6,5,4,3,0.8,0.5,1.7
MK454SL,7,1,6,2,<3,N/A,N/A,N/A
MK454SN,91,48,43,28,31,27.4,20,>=30
MK454SP,87,49,38,27,25,1.7,1.9,2.5
MK454SQ,77,39,38,29,28,23.8,16.7,>=30
MK454SR,41,20,21,12,13,7.8,8.1,8.1
MK454TB,76,39,37,23,25,13.2,14.3,19.9
MK455AA,39,22,17,13,13,11.8,12.4,19.9
MK455AB,4,3,1,2,<3,N/A,N/A,N/A
MK455AD,1,1,0,1,<3,N/A,N/A,N/A
MK455AE,8,3,5,2,<3,N/A,N/A,N/A
MK455AF,4,1,3,2,<3,N/A,N/A,N/A
MK455AH,6,3,3,2,2,N/A,N/A,N/A
MK455AL,10,6,4,4,1,N/A,N/A,N/A
MK455AN,9,6,3,4,2,N/A,N/A,N/A
MK455AP,21,11,10,5,5,>=30,>=30,>=30
MK455AR,2,0,2,1,<3,N/A,N/A,N/A
MK455AS,11,5,6,6,7,6.2,6.9,8.3
MK455AT,63,31,32,28,25,5.9,6.5,9.8
MK455AU,60,27,33,21,18,6.3,6.2,10
MK455AX,36,19,17,13,14,5.2,5,9.2
MK455AY,12,5,7,4,2,N/A,N/A,N/A
MK455BA,12,6,6,4,3,7.2,4.6,14.4
MK455BB,65,33,32,21,19,>=30,20,>=30
MK455BD,6,3,3,2,<3,N/A,N/A,N/A
MK455BE,11,5,6,6,6,17.5,18.9,>=30
MK455BH,40,24,16,12,7,16.7,9.2,>=30
MK455BL,86,46,40,36,31,>=30,20.6,>=30
MK455BN,14,9,5,4,4,17.1,13.2,>=30
MK455BQ,26,11,15,12,15,8.1,8.1,15.2
MK455BU,89,42,47,39,36,>=30,>=30,>=30
MK455BW,83,46,37,32,30,26.2,20,>=30
MK455DA,40,19,21,15,13,29.9,10.2,>=30
MK455DB,21,10,11,10,8,9.2,5.4,>=30
MK455DD,109,59,50,39,35,16.7,7.3,>=30
MK455DE,69,34,35,28,24,10.4,6.6,>=30
MK455DF,104,58,46,36,31,6.7,4.9,20.1
MK455DG,107,54,53,42,40,5,4.3,18.4
MK455DH,16,5,11,4,4,29.9,6.5,>=30
MK455DJ,74,36,38,28,22,8.6,6.8,>=30
MK455DL,32,14,18,16,13,5.3,5.8,6.6
MK455DN,14,8,6,5,5,2.1,2.4,3.8
MK455DP,31,17,14,8,8,>=30,>=30,>=30
MK455DQ,17,8,9,7,4,13.9,16.8,19.4
MK455DR,87,48,39,33,29,4.9,3.9,20.6
MK455DT,53,27,26,22,21,3.3,3.5,4.3
MK455DU,63,29,34,24,25,3.9,4,6.8
MK455DX,12,7,5,4,3,3.7,2.3,6.8
MK455DY,75,34,41,29,28,5.9,5.7,17.2
MK455EA,38,19,19,15,12,5.7,5.4,10.3
MK455EB,60,31,29,27,16,5.7,5.7,8.1
MK455ED,53,27,26,22,19,6.5,6.8,8.1
MK455EE,38,18,20,17,11,5.3,5.7,8.1
MK455EF,176,85,91,65,57,3,3.2,4.7
MK455EG,12,6,6,3,2,N/A,N/A,N/A
MK455EH,11,4,7,4,5,6.2,6.6,7.4
MK455EJ,49,31,18,20,18,4.7,4.5,11
MK455EL,35,18,17,15,13,3.5,3.9,5.7
MK455EN,97,51,46,35,29,23.3,8.1,>=30
MK455EP,44,24,20,16,15,2.8,2.9,4.8
MK455EQ,72,33,39,27,24,2.7,2.9,4.2
