Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK442PY,11,6,5,4,3,1,1,1.2
MK442QA,47,23,24,20,14,1.7,1.7,3.4
MK442QB,9,5,4,4,3,2.6,2.3,3.4
MK442QD,41,15,26,19,14,1.7,1.4,3.4
MK442QE,4,2,2,1,<3,N/A,N/A,N/A
MK442QG,10,4,6,3,3,1.8,1.7,2.3
MK442QH,13,6,7,6,5,0.4,0.4,0.6
MK442QJ,5,3,2,2,<3,N/A,N/A,N/A
MK442QL,21,11,10,7,4,1.3,1.3,2.5
MK442QN,16,7,9,6,3,1.7,2,2.6
MK442QP,7,3,4,4,3,4.5,5.1,6
MK442QQ,11,6,5,4,6,1.1,1.2,1.7
MK442QR,6,4,2,3,1,N/A,N/A,N/A
MK442QS,12,8,4,5,14,5.2,5.8,7.1
MK442QT,6,4,2,2,<3,N/A,N/A,N/A
MK442QW,15,9,6,6,4,2.6,2.5,3.5
MK442RA,114,50,64,62,38,6.5,7.6,8.1
MK442RB,7,4,3,3,1,N/A,N/A,N/A
MK442RD,22,7,15,10,7,6.8,6.8,7.6
MK442RE,2,1,1,1,<3,N/A,N/A,N/A
MK442RF,9,5,4,4,4,4.4,3.8,8.1
MK442RG,10,4,6,7,2,N/A,N/A,N/A
MK442RH,7,2,5,4,2,N/A,N/A,N/A
MK442RJ,3,1,2,2,<3,N/A,N/A,N/A
MK442RL,17,9,8,9,10,8.7,7.6,20.8
MK442RN,43,23,20,18,14,6,5.7,8.1
MK442RP,53,25,28,25,28,5.7,5.7,8.1
MK442RR,36,20,16,17,10,5.3,6.4,8.1
MK442RS,17,12,5,6,8,7.6,7.6,8.1
MK442RT,3,1,2,1,<3,N/A,N/A,N/A
MK442RU,23,12,11,10,7,5.9,5.4,8.1
MK442RW,61,27,34,26,24,6.9,7.1,8.1
MK442RX,4,2,2,1,<3,N/A,N/A,N/A
MK442SA,7,2,5,2,4,2.9,2.8,5.7
MK442SB,43,20,23,20,19,18.3,5.7,>=30
MK442SH,11,7,4,3,4,7.9,7.9,8.1
MK442SJ,12,7,5,6,2,N/A,N/A,N/A
MK442SP,13,8,5,6,5,2.4,2.4,3.9
MK442SR,5,3,2,1,<3,N/A,N/A,N/A
MK442SU,8,2,6,2,2,N/A,N/A,N/A
MK442SX,4,2,2,2,<3,N/A,N/A,N/A
MK442TA,14,7,7,4,3,1.4,0.9,2.8
MK442TB,3,2,1,1,<3,N/A,N/A,N/A
MK442TE,3,2,1,2,<3,N/A,N/A,N/A
MK442TF,19,10,9,4,5,4.7,3.4,8.1
MK443AA,8,4,4,3,4,>=30,>=30,>=30
MK443AB,67,34,33,30,22,18.9,2.3,>=30
MK443AD,34,12,22,13,10,13.9,1.2,>=30
MK443AE,54,24,30,27,23,19.2,7.1,>=30
MK443AF,11,8,3,4,3,16.4,1.3,>=30
MK443AG,5,2,3,3,3,>=30,>=30,>=30
MK443AH,10,5,5,5,5,7.8,1.9,17.9
MK443AJ,18,10,8,7,6,9.2,3.5,>=30
MK443AL,2,1,1,1,7,2.1,1.9,3.1
MK443AN,17,8,9,7,5,20.6,20.7,>=30
MK443AP,77,39,38,33,21,>=30,>=30,>=30
MK443AS,67,53,14,10,9,19.6,22.4,>=30
MK443AT,17,8,9,7,7,1.9,2,2.7
MK443AU,18,12,6,6,4,15.9,16,>=30
MK443AX,108,55,53,42,31,14.4,17.3,>=30
MK443AY,18,10,8,5,5,15,15.2,16.2
MK443AZ,21,10,11,9,5,12.4,12.8,14.9
MK443BD,19,9,10,8,7,11,2,>=30
MK443BE,7,4,3,4,3,0.9,1,1
MK443BG,115,55,60,45,48,7,7.4,8.1
MK443BH,49,26,23,23,21,15.6,6.9,>=30
MK443BJ,36,20,16,13,12,7.4,7.4,8.1
MK443BL,10,5,5,4,2,N/A,N/A,N/A
MK443BN,11,6,5,5,3,6.9,0.3,20.2
MK443BP,13,6,7,4,2,N/A,N/A,N/A
MK443BQ,74,34,40,26,19,7.3,7.6,8.1
MK443BS,9,5,4,5,3,7.4,0.7,20.7
MK443BT,3,1,2,2,<3,N/A,N/A,N/A
MK443BW,21,10,11,8,5,14.3,14.3,19.9
MK443DA,18,8,10,9,1,N/A,N/A,N/A
MK443DB,20,10,10,11,11,0.9,1,1.7
MK443DD,23,7,16,9,8,7.4,8.1,8.1
MK443DH,14,7,7,7,1,N/A,N/A,N/A
MK443DL,6,3,3,3,3,7.6,7.6,7.6
MK443DP,2,1,1,1,<3,N/A,N/A,N/A
MK443DR,30,11,19,11,13,3.1,2.5,10
MK443DS,5,3,2,4,2,N/A,N/A,N/A
MK443DX,47,24,23,19,14,2.8,2.4,5.1
MK443DY,2,1,1,1,<3,N/A,N/A,N/A
MK443EA,74,40,34,29,23,2.8,2.6,5.7
MK443EB,34,15,19,13,10,3.1,3.2,5.7
MK443ED,21,12,9,10,10,2.5,2.4,4
MK443EE,43,25,18,26,12,2.6,2.1,5.9
MK443EF,22,11,11,12,8,3.8,3.9,5.2
MK443EG,29,15,14,12,9,2,1.7,3.4
MK443EH,3,2,1,2,<3,N/A,N/A,N/A
MK443EJ,13,7,6,4,5,1.7,1.5,2.3
MK443EL,51,23,28,18,17,2.1,2,3.4
MK443EN,2,1,1,1,<3,N/A,N/A,N/A
MK443EP,61,28,33,23,18,2.4,2.4,6
MK443ER,42,22,20,17,17,3.4,3.4,5.7
MK443EU,6,4,2,2,<3,N/A,N/A,N/A
MK443EX,24,13,11,7,7,2.3,2.3,3
MK443HA,57,30,27,30,20,6.8,7.5,8.1
MK443HB,24,11,13,10,8,7.7,7.8,8.1
MK443HD,64,32,32,24,21,7,7.4,8.1
MK443HE,6,3,3,2,<3,N/A,N/A,N/A
MK443HF,2,1,1,1,<3,N/A,N/A,N/A
MK443HG,20,9,11,10,5,7.6,7.4,8.1
MK443HH,9,5,4,4,3,5.9,5.9,6.8
MK443HJ,22,8,14,9,7,6.4,6.8,8.1
MK443HL,6,3,3,4,2,N/A,N/A,N/A
MK443HN,23,11,12,11,11,7.2,7.6,8.1
MK443HP,4,0,4,4,2,N/A,N/A,N/A
MK443HQ,7,3,4,2,<3,N/A,N/A,N/A
MK443HR,67,29,38,29,23,7,8,8.1
MK443HS,7,3,4,4,3,5.4,5.7,8.1
MK443HT,14,7,7,6,5,7.5,7.6,8.1
MK443HU,46,20,26,20,16,7,7.7,8.1
MK443HW,9,4,5,4,5,6.4,6.8,7.6
MK443HX,34,21,13,13,9,6.2,7.4,8.1
MK443HY,124,61,63,52,41,7.5,7.8,8.1
MK443HZ,7,2,5,3,1,N/A,N/A,N/A
MK443JA,37,16,21,20,13,5.9,5.9,8.1
MK443JB,14,4,10,7,6,7.7,7.6,8.1
MK443JD,64,35,29,26,20,7.7,8,8.1
MK443JF,54,28,26,21,19,6.5,7.4,8.1
MK443JH,45,21,24,22,16,6.7,7.5,8.1
MK443JJ,39,20,19,15,20,6.8,7.5,8.1
MK443JL,40,22,18,15,14,6.8,7.6,8.1
MK443JN,22,9,13,8,8,7.3,7.4,8.1
MK443JP,58,32,26,21,18,6,7.4,8.1
MK443JQ,18,9,9,9,9,6.7,7.4,8.1
MK443JR,17,7,10,7,7,13.1,8.1,>=30
MK443JS,58,29,29,22,19,7.1,7.6,8.1
MK443JT,122,58,64,44,41,6.8,7.6,8.1
MK443LA,72,36,36,28,21,6.3,6.8,8.1
MK443LB,73,34,39,31,27,7.3,7.6,8.1
MK443LD,111,58,53,48,38,6.6,7.4,8.1
MK443LE,16,8,8,8,1,N/A,N/A,N/A
MK443LF,36,19,17,19,16,6.6,7,8.1
MK443LG,8,3,5,2,1,N/A,N/A,N/A
MK443LH,6,2,4,2,3,5.3,5.7,7.2
MK443LJ,14,5,9,5,4,4.7,4.5,8.1
MK443LL,9,4,5,3,2,N/A,N/A,N/A
